timestep,displacement_am
426,0.041263
427,0.099050
428,0.152185
429,0.195859
430,0.225092
431,0.236326
432,0.227800
433,0.199091
434,0.150796
435,0.085158
436,0.007386
437,-0.074148
438,-0.149442
439,-0.208569
440,-0.242699
441,-0.245339
442,-0.214034
443,-0.151725
444,-0.067033
445,0.026802
446,0.114491
447,0.181432
448,0.216103
449,0.212229
450,0.170667
451,0.099378
452,0.010982
453,-0.080398
454,-0.161677
455,-0.222293
456,-0.254663
457,-0.254453
458,-0.220648
459,-0.155035
460,-0.061269
461,0.054758
462,0.182386
463,0.304259
464,0.397546
465,0.439165
466,0.413013
467,0.316134
468,0.161541
469,-0.022883
470,-0.199245
471,-0.328919
472,-0.385027
473,-0.362958
474,-0.282761
475,-0.180758
476,-0.094425
477,-0.047444
478,-0.041887
479,-0.059551
480,-0.071029
481,-0.049202
482,0.016796
483,0.113437
484,0.206311
485,0.256059
486,0.238663
487,0.158416
488,0.046242
489,-0.055781
490,-0.114021
491,-0.117097
492,-0.078297
493,-0.027267
494,0.005672
495,0.005969
496,-0.016295
497,-0.032184
498,-0.012697
499,0.050304
500,0.135266
501,0.201331
502,0.211323
503,0.152501
504,0.042360
505,-0.081639
506,-0.181217
507,-0.235040
508,-0.246749
509,-0.239246
510,-0.237691
511,-0.250023
512,-0.257767
513,-0.225925
514,-0.127369
515,0.035144
516,0.225919
517,0.394972
518,0.504900
519,0.547808
520,0.541962
521,0.513450
522,0.476437
523,0.423788
524,0.332335
525,0.180154
526,-0.033747
527,-0.280120
528,-0.508779
529,-0.673524
530,-0.756311
531,-0.772824
532,-0.753783
533,-0.716823
534,-0.651806
535,-0.530993
536,-0.335028
537,-0.073870
538,0.212803
539,0.474470
540,0.673697
541,0.799845
542,0.866406
543,0.894196
544,0.891505
545,0.844425
546,0.726256
547,0.521237
548,0.245341
549,-0.054128
550,-0.322943
551,-0.530448
552,-0.681045
553,-0.797399
554,-0.890980
555,-0.945871
556,-0.928951
557,-0.816644
558,-0.615608
559,-0.361968
560,-0.101782
561,0.131959
562,0.330686
563,0.504118
564,0.661789
565,0.795196
566,0.874470
567,0.865312
568,0.754151
569,0.563170
570,0.336542
571,0.113393
572,-0.100400
573,-0.318234
574,-0.555949
575,-0.788222
576,-0.972733
577,-1.051574
578,-1.009169
579,-0.856517
580,-0.630005
581,-0.368450
582,-0.083052
583,0.200220
