timestep,charge_level
1,0.062500
2,0.062500
3,0.062500
4,0.062500
5,0.062500
6,0.062500
7,0.062500
8,0.062500
9,0.062500
10,0.062500
11,0.062500
12,0.062500
13,0.062500
14,0.062500
15,0.062500
16,0.062500
17,0.062500
18,0.062500
19,0.062500
20,0.062500
21,0.062500
22,0.062500
23,0.062500
24,0.062500
25,0.062500
26,0.062500
27,0.062500
28,0.062500
29,0.062500
30,0.062500
31,0.062500
32,0.062500
33,0.062500
34,0.062500
35,0.062500
36,0.062500
37,0.062500
38,0.062500
39,0.062500
40,0.062500
41,0.062500
42,0.062500
43,0.062500
44,0.062500
45,0.062500
46,0.062500
47,0.062500
48,0.062500
49,0.062500
50,0.062500
51,0.062500
52,0.062500
53,0.062500
54,0.062500
55,0.062500
56,0.062500
57,0.062500
58,0.062500
59,0.062500
60,0.062500
61,0.062500
62,0.062500
63,0.062500
64,0.062500
65,0.062500
66,0.062500
67,0.062500
68,0.062500
69,0.062500
70,0.062500
71,0.062500
72,0.062500
73,0.062500
74,0.062500
75,0.062500
76,0.062500
77,0.062500
78,0.062500
79,0.062500
80,0.062500
81,0.062500
82,0.062500
83,0.062500
84,0.062500
85,0.062500
86,0.062500
87,0.062500
88,0.062500
89,0.062500
90,0.062500
91,0.062500
92,0.062500
93,0.062500
94,0.062500
95,0.062500
96,0.062500
97,0.062500
98,0.062500
99,0.062500
100,0.062500
101,0.062500
102,0.062500
103,0.062500
104,0.062500
105,0.062500
106,0.062500
107,0.062500
108,0.062500
109,0.062500
110,0.062500
111,0.062500
112,0.062500
113,0.062500
114,0.062500
115,0.062500
116,0.062500
117,0.062500
118,0.062500
119,0.062500
120,0.062500
121,0.062500
122,0.062500
123,0.062500
124,0.062500
125,0.062500
126,0.062500
127,0.062500
128,0.062500
129,0.062500
130,0.062500
131,0.062500
132,0.062500
133,0.062500
134,0.062500
135,0.062500
136,0.062500
137,0.062500
138,0.062500
139,0.062500
140,0.062500
141,0.062500
142,0.062500
143,0.062500
144,0.062500
145,0.062500
146,0.062500
147,0.062500
148,0.062500
149,0.062500
150,0.062500
151,0.062500
152,0.062500
153,0.062500
154,0.062500
155,0.062500
156,0.062500
157,0.062500
158,0.062500
159,0.062500
160,0.062500
161,0.062500
162,0.062500
163,0.062500
164,0.062500
165,0.062500
166,0.062500
167,0.062500
168,0.062500
169,0.062500
170,0.062500
171,0.062500
172,0.062500
173,0.062500
174,0.062500
175,0.062500
176,0.062500
177,0.062500
178,0.062500
179,0.062500
180,0.062500
181,0.062500
182,0.062500
183,0.062500
184,0.062500
185,0.062500
186,0.062500
187,0.062500
188,0.062500
189,0.062500
190,0.062500
191,0.062500
192,0.062500
193,0.062500
194,0.062500
195,0.062500
196,0.062500
197,0.062500
198,0.062500
199,0.062500
200,0.062500
201,0.062500
202,0.062500
203,0.062500
204,0.062500
205,0.062500
206,0.062500
207,0.062500
208,0.062500
209,0.062500
210,0.062500
211,0.062500
212,0.062500
213,0.062500
214,0.062500
215,0.062500
216,0.062500
217,0.062500
218,0.062500
219,0.062500
220,0.062500
221,0.062500
222,0.062500
223,0.062500
224,0.062500
225,0.062500
226,0.062500
227,0.062500
228,0.062500
229,0.062500
230,0.062500
231,0.062500
232,0.062500
233,0.062500
234,0.062500
235,0.062500
236,0.062500
237,0.062500
238,0.062500
239,0.062500
240,0.062500
241,0.062500
242,0.062500
243,0.062500
244,0.062500
245,0.062500
246,0.062500
247,0.062500
248,0.062500
249,0.062500
250,0.062500
251,0.062500
252,0.062500
253,0.062500
254,0.062500
255,0.062500
256,0.062500
257,0.062500
258,0.062500
259,0.062500
260,0.062500
261,0.062500
262,0.062500
263,0.062500
264,0.062500
265,0.062500
266,0.062500
267,0.062500
268,0.062500
269,0.062500
270,0.062500
271,0.062500
272,0.062500
273,0.062500
274,0.062500
275,0.062500
276,0.062500
277,0.062500
278,0.062500
279,0.062500
280,0.062500
281,0.062500
282,0.062500
283,0.062500
284,0.062500
285,0.062500
286,0.062500
287,0.062500
288,0.062500
289,0.062500
290,0.062500
291,0.062500
292,0.062500
293,0.062500
294,0.062500
295,0.062500
296,0.062500
297,0.062500
298,0.062500
299,0.062500
300,0.174697
301,0.174697
302,0.174697
303,0.174697
304,0.174697
305,0.174697
306,0.174697
307,0.174697
308,0.174697
309,0.174697
310,0.174697
311,0.174697
312,0.174697
313,0.174697
314,0.174697
315,0.174697
316,0.174697
317,0.174697
318,0.174697
319,0.174697
320,0.174697
321,0.174697
322,0.174697
323,0.174697
324,0.174697
325,0.174697
326,0.174697
327,0.174697
328,0.174697
329,0.174697
330,0.174697
331,0.174697
332,0.174697
333,0.174697
334,0.174697
335,0.174697
336,0.174697
337,0.174697
338,0.174697
339,0.174697
340,0.174697
341,0.174697
342,0.174697
343,0.174697
344,0.174697
345,0.174697
346,0.174697
347,0.174697
348,0.174697
349,0.174697
350,0.174697
351,0.174697
352,0.174697
353,0.174697
354,0.174697
355,0.174697
356,0.174697
357,0.174697
358,0.174697
359,0.174697
360,0.203917
361,0.203917
362,0.203917
363,0.203917
364,0.203917
365,0.203917
366,0.203917
367,0.203917
368,0.203917
369,0.203917
370,0.203917
371,0.203917
372,0.203917
373,0.203917
374,0.203917
375,0.203917
376,0.203917
377,0.203917
378,0.203917
379,0.203917
380,0.203917
381,0.203917
382,0.203917
383,0.203917
384,0.203917
385,0.203917
386,0.203917
387,0.203917
388,0.203917
389,0.203917
390,0.203917
391,0.203917
392,0.203917
393,0.203917
394,0.203917
395,0.203917
396,0.203917
397,0.203917
398,0.203917
399,0.203917
400,0.203917
401,0.203917
402,0.203917
403,0.203917
404,0.203917
405,0.203917
406,0.203917
407,0.203917
408,0.203917
409,0.203917
410,0.203917
411,0.203917
412,0.203917
413,0.203917
414,0.203917
415,0.203917
416,0.203917
417,0.203917
418,0.203917
419,0.203917
420,0.228986
421,0.228986
422,0.228986
423,0.228986
424,0.228986
425,0.228986
426,0.228986
427,0.228986
428,0.228986
429,0.228986
430,0.228986
431,0.228986
432,0.228986
433,0.228986
434,0.228986
435,0.228986
436,0.228986
437,0.228986
438,0.228986
439,0.228986
440,0.228986
441,0.228986
442,0.228986
443,0.228986
444,0.228986
445,0.228986
446,0.228986
447,0.228986
448,0.228986
449,0.228986
450,0.228986
451,0.228986
452,0.228986
453,0.228986
454,0.228986
455,0.228986
456,0.228986
457,0.228986
458,0.228986
459,0.228986
460,0.228986
461,0.228986
462,0.228986
463,0.228986
464,0.228986
465,0.228986
466,0.228986
467,0.228986
468,0.228986
469,0.228986
470,0.228986
471,0.228986
472,0.228986
473,0.228986
474,0.228986
475,0.228986
476,0.228986
477,0.228986
478,0.228986
479,0.228986
480,0.411330
481,0.411330
482,0.411330
483,0.411330
484,0.411330
485,0.411330
486,0.411330
487,0.411330
488,0.411330
489,0.411330
490,0.411330
491,0.411330
492,0.411330
493,0.411330
494,0.411330
495,0.411330
496,0.411330
497,0.411330
498,0.411330
499,0.411330
500,0.411330
501,0.411330
502,0.411330
503,0.411330
504,0.411330
505,0.411330
506,0.411330
507,0.411330
508,0.411330
509,0.411330
510,0.411330
511,0.411330
512,0.411330
513,0.411330
514,0.411330
515,0.411330
516,0.411330
517,0.411330
518,0.411330
519,0.411330
520,0.411330
521,0.411330
522,0.411330
523,0.411330
524,0.411330
525,0.411330
526,0.411330
527,0.411330
528,0.411330
529,0.411330
530,0.411330
531,0.411330
532,0.411330
533,0.411330
534,0.411330
535,0.411330
536,0.411330
537,0.411330
538,0.411330
539,0.411330
540,0.692267
541,0.692267
542,0.692267
543,0.692267
544,0.692267
545,0.692267
546,0.692267
547,0.692267
548,0.692267
549,0.692267
550,0.692267
551,0.692267
552,0.692267
553,0.692267
554,0.692267
555,0.692267
556,0.692267
557,0.692267
558,0.692267
559,0.692267
560,0.692267
561,0.692267
562,0.692267
563,0.692267
564,0.692267
565,0.692267
566,0.692267
567,0.692267
568,0.692267
569,0.692267
570,0.692267
571,0.692267
572,0.692267
573,0.692267
574,0.692267
575,0.692267
576,0.692267
577,0.692267
578,0.692267
579,0.692267
580,0.692267
581,0.692267
582,0.692267
583,0.692267
584,0.692267
585,0.692267
586,0.692267
587,0.692267
588,0.692267
589,0.692267
590,0.692267
591,0.692267
592,0.692267
593,0.692267
594,0.692267
595,0.692267
596,0.692267
597,0.692267
598,0.692267
599,0.692267
600,0.975513
601,0.975513
602,0.975513
603,0.975513
604,0.975513
605,0.975513
606,0.975513
607,0.975513
608,0.975513
609,0.975513
610,0.975513
611,0.975513
612,0.975513
613,0.975513
614,0.975513
615,0.975513
616,0.975513
617,0.975513
618,0.975513
619,0.975513
620,0.975513
621,0.975513
622,0.975513
623,0.975513
624,0.975513
625,0.975513
626,0.975513
627,0.975513
628,0.975513
629,0.975513
630,0.975513
631,0.975513
632,0.975513
633,0.975513
634,0.975513
635,0.975513
636,0.975513
637,0.975513
638,0.975513
639,0.975513
640,0.975513
641,0.975513
642,0.975513
643,0.975513
644,0.975513
645,0.975513
646,0.975513
647,0.975513
648,0.975513
649,0.975513
650,0.975513
651,0.975513
652,0.975513
653,0.975513
654,0.975513
655,0.975513
656,0.975513
657,0.975513
658,0.975513
659,0.975513
660,1.174679
661,1.174679
