timestep,charge_level,psiL_am,amplitudeL_am,frequency_rHz
608,0.433835,-1.334244,0.760206,0.008024
609,0.433835,-1.311386,0.764150,0.008024
610,0.433835,-1.179772,0.767857,0.008024
611,0.433835,-0.932405,0.770464,0.008024
612,0.433835,-0.577301,0.771359,0.008024
613,0.433835,-0.132611,0.770510,0.008024
614,0.433835,0.365970,0.768638,0.008024
615,0.433835,0.854615,0.767151,0.008125
616,0.433835,1.247826,0.767613,0.008125
617,0.433835,1.468500,0.770759,0.008125
618,0.433835,1.483608,0.775810,0.008125
619,0.433835,1.316514,0.780946,0.008125
620,0.433835,1.026582,0.784534,0.008125
621,0.433835,0.674982,0.785930,0.008125
622,0.433835,0.305588,0.785414,0.008125
623,0.433835,-0.050516,0.783746,0.008125
624,0.433835,-0.365600,0.781792,0.008125
625,0.433835,-0.619370,0.780264,0.008125
626,0.433835,-0.811073,0.779542,0.008125
627,0.433835,-0.958502,0.779703,0.008125
628,0.433835,-1.076736,0.780699,0.008125
629,0.433835,-1.152042,0.782458,0.008125
630,0.433835,-1.139964,0.784739,0.008125
631,0.433835,-0.997131,0.786914,0.008125
632,0.433835,-0.721054,0.788104,0.008125
633,0.433835,-0.361596,0.787783,0.008125
634,0.433835,0.007111,0.786227,0.008125
635,0.433835,0.327350,0.784259,0.008321
636,0.433835,0.576549,0.782639,0.008321
637,0.433835,0.756188,0.781744,0.008321
638,0.433835,0.871841,0.781618,0.008321
639,0.433835,0.928324,0.782095,0.008321
640,0.433835,0.938367,0.782894,0.008321
641,0.433835,0.924525,0.783748,0.008321
642,0.433835,0.903025,0.784515,0.008321
643,0.433835,0.862188,0.785152,0.008321
644,0.433835,0.763214,0.785556,0.008321
645,0.433835,0.571190,0.785446,0.008321
646,0.433835,0.290687,0.784520,0.008321
647,0.433835,-0.028222,0.782826,0.008321
648,0.433835,-0.319085,0.780869,0.008321
649,0.433835,-0.538106,0.779241,0.008321
650,0.433835,-0.681861,0.778221,0.008321
651,0.433835,-0.774029,0.777769,0.008321
652,0.433835,-0.838576,0.777751,0.008321
653,0.433835,-0.884313,0.778067,0.008321
654,0.433835,-0.906709,0.778634,0.008321
655,0.433835,-0.895042,0.779327,0.008321
