timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
85,0.062500,-0.092008,0.054074,0.246972,0.004167,0.002334
86,0.062500,-0.157162,0.071778,0.246439,0.005648,0.002334
87,0.062500,-0.204509,0.094332,0.246074,0.007583,0.002334
88,0.062500,-0.230767,0.122735,0.245883,0.010085,0.002334
89,0.062500,-0.234785,0.158086,0.245810,0.013286,0.002334
90,0.062500,-0.217551,0.201561,0.245756,0.017337,0.002334
91,0.062500,-0.181982,0.254376,0.245623,0.022410,0.002334
92,0.062500,-0.132539,0.317735,0.245346,0.028692,0.002334
93,0.062500,-0.074686,0.392768,0.244911,0.036385,0.002334
94,0.062500,-0.014342,0.480444,0.244355,0.045701,0.002334
95,0.062500,0.042753,0.581483,0.243746,0.056853,0.002334
96,0.062500,0.091527,0.696245,0.243154,0.070048,0.002737
97,0.062500,0.128103,0.824622,0.242632,0.085475,0.002737
98,0.062500,0.150041,0.965926,0.242194,0.103293,0.002737
99,0.062500,0.156501,1.118785,0.241821,0.123617,0.002737
100,0.062500,0.148211,1.281058,0.241469,0.146503,0.002737
101,0.062500,0.127311,1.449778,0.241093,0.171934,0.002737
102,0.062500,0.096970,1.621127,0.240658,0.199807,0.002737
103,0.062500,0.061068,1.790470,0.240153,0.229921,0.002737
104,0.062500,0.023671,1.952422,0.239591,0.261970,0.002737
105,0.062500,-0.011369,2.100999,0.238997,0.295541,0.002737
106,0.062500,-0.040845,2.229802,0.238400,0.330120,0.002737
107,0.062500,-0.062423,2.332279,0.237821,0.365095,0.002737
108,0.062500,-0.074876,2.402014,0.237267,0.399782,0.002737
109,0.062500,-0.078167,2.433058,0.236732,0.433445,0.002737
110,0.062500,-0.073206,2.420277,0.236204,0.465332,0.002737
111,0.062500,-0.061837,2.359688,0.235670,0.494712,0.002737
112,0.062500,-0.046446,2.248755,0.235120,0.520919,0.002737
113,0.062500,-0.029612,2.086665,0.234555,0.543401,0.002737
