timestep,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
143,0.015276,0.000000,0.049853,0.000000,0.006142
144,0.009085,0.000000,0.049235,0.000000,0.006080
145,0.006972,0.000000,0.048623,0.000000,0.006019
146,0.002003,0.000000,0.048017,0.000000,0.005959
147,0.001770,0.000000,0.047418,0.000000,0.005900
148,0.005426,0.000000,0.046828,0.000000,0.005841
149,0.005290,0.000000,0.046245,0.000000,0.005782
150,0.011955,0.000000,0.045675,0.000000,0.005724
151,0.017253,0.000000,0.045122,0.000000,0.005667
152,0.028802,0.000000,0.044604,0.000000,0.005610
153,0.029855,0.000000,0.044097,0.000000,0.005554
154,0.036555,0.000000,0.043622,0.000000,0.005499
155,0.038729,0.000000,0.043163,0.000000,0.005444
156,0.032526,0.000000,0.042685,0.000000,0.005389
157,0.031254,0.000000,0.042209,0.000000,0.005335
158,0.020207,0.000000,0.041707,0.000000,0.005282
159,0.015305,0.000000,0.041200,0.000000,0.005229
160,0.013409,0.000000,0.040697,0.000000,0.005177
161,0.009831,0.000000,0.040195,0.000000,0.005125
162,0.010412,0.000000,0.039700,0.000000,0.005074
163,0.011513,0.000000,0.039213,0.000000,0.005023
164,0.017455,0.000000,0.038743,0.000000,0.004973
165,0.014170,0.000000,0.038272,0.000000,0.004923
166,0.016162,0.000000,0.037812,0.000000,0.004874
167,0.016261,0.000000,0.037357,0.000000,0.004825
168,0.008644,0.000000,0.036896,0.000000,0.004777
169,0.008610,0.000000,0.036441,0.000000,0.004729
170,0.000729,0.000000,0.035986,0.000000,0.004682
171,0.001154,0.000000,0.035537,0.000000,0.004635
172,0.000293,0.000000,0.035094,0.000000,0.004589
173,0.007982,0.000000,0.034660,0.000000,0.004543
174,0.013465,0.000000,0.034241,0.000000,0.004497
175,0.020031,0.000000,0.033842,0.000000,0.004453
176,0.025074,0.000000,0.033466,0.000000,0.004408
177,0.027242,0.000000,0.033104,0.000000,0.004364
178,0.027635,0.000000,0.032748,0.000000,0.004320
179,0.023214,0.000000,0.032380,0.000000,0.004277
180,0.017409,0.000000,0.031999,0.000000,0.004234
181,0.015089,0.000000,0.031617,0.000000,0.004192
182,0.006043,0.000000,0.031226,0.000000,0.004150
183,0.005251,0.000000,0.030838,0.000000,0.004109
184,0.002582,0.000000,0.030454,0.000000,0.004067
185,0.008933,0.000000,0.030081,0.000000,0.004027
186,0.011843,0.000000,0.029717,0.000000,0.003987
187,0.016438,0.000000,0.029369,0.000000,0.003947
188,0.019077,0.000000,0.029033,0.000000,0.003907
189,0.018313,0.000000,0.028699,0.000000,0.003868
190,0.015874,0.000000,0.028363,0.000000,0.003829
191,0.010999,0.000000,0.028019,0.000000,0.003791
192,0.005128,0.000000,0.027672,0.000000,0.003753
193,0.004166,0.000000,0.027328,0.000000,0.003716
194,-0.001454,0.000000,0.026988,0.000000,0.003679
195,0.000360,0.000000,0.026651,0.000000,0.003588
196,0.002549,0.000000,0.026319,0.000000,0.003552
197,0.012267,0.000000,0.026005,0.000000,0.003517
198,0.013595,0.000000,0.025698,0.000000,0.003481
199,0.022039,0.000000,0.025424,0.000000,0.003447
200,0.024417,0.000000,0.025165,0.000000,0.003412
201,0.021709,0.000000,0.024897,0.000000,0.003378
202,0.020897,0.000000,0.024630,0.000000,0.003344
203,0.010864,0.000000,0.024335,0.000000,0.003311
204,0.003469,0.000000,0.024032,0.000000,0.003278
205,0.001957,0.000000,0.023733,0.000000,0.003245
206,-0.001942,0.000000,0.023437,0.000000,0.003212
207,0.000000,0.000000,0.023145,0.000000,0.004015
208,0.000000,0.000000,0.022856,0.000000,0.003975
209,0.000000,0.000000,0.022571,0.000000,0.003936
210,0.000000,0.000000,0.022289,0.000000,0.003896
211,0.000000,0.000000,0.022011,0.000000,0.003857
212,0.000000,0.000000,0.021736,0.000000,0.003819
213,0.000000,0.000000,0.021465,0.000000,0.003780
214,0.000000,0.000000,0.021197,0.000000,0.003743
215,0.000000,0.000000,0.020933,0.000000,0.003705
216,-0.000000,0.000000,0.020671,0.000000,0.003668
217,-0.000000,0.000000,0.020413,0.000000,0.003632
218,-0.000000,0.000000,0.020159,0.000000,0.003595
219,-0.000000,0.000000,0.019907,0.000000,0.003559
220,-0.000000,0.000000,0.019659,0.000000,0.003524
221,-0.000000,0.000000,0.019413,0.000000,0.003488
222,-0.000000,0.000000,0.019171,0.000000,0.003454
223,-0.000000,0.000000,0.018932,0.000000,0.003419
224,0.000000,0.000000,0.018696,0.000000,0.003917
225,0.000000,0.000000,0.018463,0.000000,0.003878
226,0.000000,0.000000,0.018232,0.000000,0.003839
227,0.000000,0.000000,0.018005,0.000000,0.003801
228,-0.000000,0.000000,0.017780,0.000000,0.003763
229,0.000000,0.000000,0.017558,0.000000,0.005925
230,0.000000,0.000000,0.017339,0.000000,0.005866
231,-0.000000,0.000000,0.017123,0.000000,0.005807
232,-0.000000,0.000000,0.016909,0.000000,0.005749
233,0.000000,0.000000,0.016698,0.000000,0.008390
234,0.000000,0.000000,0.016490,0.000000,0.008306
235,0.000000,0.000000,0.016284,0.000000,0.008223
236,0.000000,0.000000,0.016081,0.000000,0.008141
237,0.000000,0.000000,0.015880,0.000000,0.008059
238,-0.000000,0.000000,0.015682,0.000000,0.007979
239,-0.000000,0.000000,0.015486,0.000000,0.007899
240,-0.000000,0.000000,0.015293,0.000000,0.007820
241,-0.000000,0.000000,0.015102,0.000000,0.007742
242,-0.000000,0.000000,0.014914,0.000000,0.007664
243,-0.000000,0.000000,0.014728,0.000000,0.007587
244,-0.000000,0.000000,0.014544,0.000000,0.007512
245,-0.000000,0.000000,0.014362,0.000000,0.007437
246,-0.000000,0.000000,0.014183,0.000000,0.007362
247,-0.000000,0.000000,0.014006,0.000000,0.007289
248,-0.000000,0.000000,0.013831,0.000000,0.007216
249,-0.000000,0.000000,0.013659,0.000000,0.007143
250,0.000000,0.000000,0.013488,0.000000,0.007420
251,0.000000,0.000000,0.013320,0.000000,0.007346
252,0.000000,0.000000,0.013154,0.000000,0.007273
253,0.000000,0.000000,0.012990,0.000000,0.007200
254,0.000000,0.000000,0.012828,0.000000,0.007128
255,0.000000,0.000000,0.012668,0.000000,0.007057
256,0.000000,0.000000,0.012509,0.000000,0.006986
257,0.000000,0.000000,0.012353,0.000000,0.006916
258,0.000000,0.000000,0.012199,0.000000,0.006847
259,0.000000,0.000000,0.012047,0.000000,0.006779
260,-0.000000,0.000000,0.011897,0.000000,0.006711
261,-0.000000,0.000000,0.011748,0.000000,0.006644
262,-0.000000,0.000000,0.011602,0.000000,0.006577
263,-0.000000,0.000000,0.011457,0.000000,0.006511
264,-0.000000,0.000000,0.011314,0.000000,0.006446
265,-0.000000,0.000000,0.011173,0.000000,0.006382
266,-0.000000,0.000000,0.011033,0.000000,0.006318
267,-0.000000,0.000000,0.010896,0.000000,0.006255
268,-0.000000,0.000000,0.010760,0.000000,0.006192
269,-0.000000,0.000000,0.010625,0.000000,0.006130
270,-0.000000,0.000000,0.010493,0.000000,0.006069
271,-0.000000,0.000000,0.010362,0.000000,0.006008
272,0.000000,0.000000,0.010233,0.000000,0.006193
273,0.000000,0.000000,0.010105,0.000000,0.006131
274,0.000000,0.000000,0.009979,0.000000,0.006070
275,0.000000,0.000000,0.009854,0.000000,0.006009
276,0.000000,0.000000,0.009731,0.000000,0.005949
277,0.000000,0.000000,0.009610,0.000000,0.005890
278,0.000000,0.000000,0.009490,0.000000,0.005831
279,0.000000,0.000000,0.009372,0.000000,0.005772
280,0.000000,0.000000,0.009255,0.000000,0.005715
281,0.000000,0.000000,0.009139,0.000000,0.005658
282,0.000000,0.000000,0.009025,0.000000,0.005601
283,0.000000,0.000000,0.008913,0.000000,0.005545
284,-0.000000,0.000000,0.008801,0.000000,0.005490
285,-0.000000,0.000000,0.008692,0.000000,0.005435
286,-0.000000,0.000000,0.008583,0.000000,0.005380
287,-0.000000,0.000000,0.008476,0.000000,0.005326
288,-0.000000,0.000000,0.008370,0.000000,0.005273
289,-0.000000,0.000000,0.008266,0.000000,0.005220
290,-0.000000,0.000000,0.008163,0.000000,0.005168
291,-0.000000,0.000000,0.008061,0.000000,0.005117
292,-0.000000,0.000000,0.007960,0.000000,0.005065
293,-0.000000,0.000000,0.007861,0.000000,0.005015
294,-0.000000,0.000000,0.007763,0.000000,0.004965
295,-0.000000,0.000000,0.007666,0.000000,0.004915
296,0.000000,0.000000,0.007570,0.000000,0.005120
297,0.000000,0.000000,0.007476,0.000000,0.005068
298,0.000000,0.000000,0.007382,0.000000,0.005018
299,0.000000,0.000000,0.007290,0.000000,0.004968
300,0.000000,0.000000,0.007199,0.000000,0.004918
301,0.000000,0.000000,0.007110,0.000000,0.004869
302,0.000000,0.000000,0.007021,0.000000,0.004820
303,0.000000,0.000000,0.006933,0.000000,0.004772
304,0.000000,0.000000,0.006847,0.000000,0.004724
305,0.000000,0.000000,0.006761,0.000000,0.004677
306,0.000000,0.000000,0.006677,0.000000,0.004630
307,-0.000000,0.000000,0.006594,0.000000,0.004584
308,-0.000000,0.000000,0.006511,0.000000,0.004538
309,-0.000000,0.000000,0.006430,0.000000,0.004493
310,-0.000000,0.000000,0.006350,0.000000,0.004448
311,-0.000000,0.000000,0.006271,0.000000,0.004403
312,-0.000000,0.000000,0.006192,0.000000,0.004359
313,-0.000000,0.000000,0.006115,0.000000,0.004316
314,-0.000000,0.000000,0.006039,0.000000,0.004272
315,-0.000000,0.000000,0.005963,0.000000,0.004230
316,-0.000000,0.000000,0.005889,0.000000,0.004187
317,-0.000000,0.000000,0.005816,0.000000,0.004146
318,0.000000,0.000000,0.005743,0.000000,0.004441
319,0.000000,0.000000,0.005671,0.000000,0.004397
320,0.000000,0.000000,0.005601,0.000000,0.004353
321,0.000000,0.000000,0.005531,0.000000,0.004309
322,0.000000,0.000000,0.005462,0.000000,0.004266
323,0.000000,0.000000,0.005394,0.000000,0.004223
324,0.000000,0.000000,0.005326,0.000000,0.004181
325,0.000000,0.000000,0.005260,0.000000,0.004139
326,0.000000,0.000000,0.005194,0.000000,0.004098
327,0.000000,0.000000,0.005129,0.000000,0.004057
328,0.000000,0.000000,0.005065,0.000000,0.004016
329,0.000000,0.000000,0.005002,0.000000,0.003976
330,-0.000000,0.000000,0.004940,0.000000,0.003937
331,-0.000000,0.000000,0.004878,0.000000,0.003897
332,-0.000000,0.000000,0.004817,0.000000,0.003858
333,-0.000000,0.000000,0.004757,0.000000,0.003820
334,-0.000000,0.000000,0.004698,0.000000,0.003781
335,-0.000000,0.000000,0.004639,0.000000,0.003744
336,-0.000000,0.000000,0.004581,0.000000,0.003706
337,-0.000000,0.000000,0.004524,0.000000,0.003669
338,-0.000000,0.000000,0.004468,0.000000,0.003632
339,-0.000000,0.000000,0.004412,0.000000,0.003596
340,-0.000000,0.000000,0.004357,0.000000,0.003560
341,0.000000,0.000000,0.004302,0.000000,0.003867
342,0.000000,0.000000,0.004249,0.000000,0.003828
343,0.000000,0.000000,0.004196,0.000000,0.003790
344,0.000000,0.000000,0.004143,0.000000,0.003752
345,0.000000,0.000000,0.004092,0.000000,0.003715
346,0.000000,0.000000,0.004041,0.000000,0.003678
347,0.000000,0.000000,0.003990,0.000000,0.003641
348,0.000000,0.000000,0.003940,0.000000,0.003604
349,0.000000,0.000000,0.003891,0.000000,0.003568
350,0.000000,0.000000,0.003843,0.000000,0.003533
351,0.000000,0.000000,0.003795,0.000000,0.003497
352,0.000000,0.000000,0.003747,0.000000,0.003462
353,0.000000,0.000000,0.003701,0.000000,0.003428
354,-0.000000,0.000000,0.003654,0.000000,0.003393
355,-0.000000,0.000000,0.003609,0.000000,0.003359
356,-0.000000,0.000000,0.003564,0.000000,0.003326
357,-0.000000,0.000000,0.003519,0.000000,0.003293
358,-0.000000,0.000000,0.003475,0.000000,0.003260
359,-0.000000,0.000000,0.003432,0.000000,0.003227
360,-0.000000,0.000000,0.003389,0.000000,0.003195
361,-0.000000,0.000000,0.003347,0.000000,0.003163
362,-0.000000,0.000000,0.003305,0.000000,0.003131
363,-0.000000,0.000000,0.003264,0.000000,0.003100
364,-0.000000,0.000000,0.003223,0.000000,0.003069
365,0.000000,0.000000,0.003183,0.000000,0.003383
366,0.000000,0.000000,0.003143,0.000000,0.003350
367,0.000000,0.000000,0.003104,0.000000,0.003316
368,0.003877,0.000000,0.003077,0.000000,0.003283
369,-0.004948,0.000000,0.003059,0.000000,0.003250
370,0.000000,0.000000,0.003020,0.000000,0.005443
371,0.005931,0.000000,0.003011,0.000000,0.005388
372,-0.005770,0.000000,0.003001,0.000000,0.005334
373,-0.005179,0.000000,0.002986,0.000000,0.005281
374,-0.009793,0.000000,0.003027,0.000000,0.005228
375,0.000000,0.000000,0.002989,0.000000,0.007303
376,-0.000000,0.000000,0.002952,0.000000,0.007230
377,0.002238,0.000000,0.002920,0.000000,0.012765
378,-0.000000,0.000000,0.002883,0.000000,0.012638
379,0.000705,0.000000,0.002848,0.000000,0.012511
380,-0.000000,0.000000,0.002812,0.000000,0.012386
381,-0.000000,0.000000,0.002777,0.000000,0.012262
382,-0.004764,0.000000,0.002762,0.000000,0.012140
383,-0.000000,0.000000,0.002728,0.000000,0.012018
384,0.005873,0.000000,0.002725,0.000000,0.013689
385,0.004708,0.000000,0.002711,0.000000,0.013552
386,-0.000000,0.000000,0.002677,0.000000,0.013417
387,-0.002138,0.000000,0.002648,0.000000,0.013283
388,-0.003116,0.000000,0.002624,0.000000,0.013150
389,0.000000,0.000000,0.002592,0.000000,0.014753
390,0.000056,0.000000,0.002559,0.000000,0.014606
391,0.000000,0.000000,0.002527,0.000000,0.014460
392,0.003020,0.000000,0.002505,0.000000,0.014315
393,-0.004276,0.000000,0.002491,0.000000,0.014172
394,0.000000,0.000000,0.002460,0.000000,0.015715
395,0.005762,0.000000,0.002463,0.000000,0.015558
396,0.000000,0.000000,0.002432,0.000000,0.015402
397,0.000000,0.000000,0.002402,0.000000,0.015248
398,-0.002835,0.000000,0.002380,0.000000,0.015096
399,-0.003735,0.000000,0.002365,0.000000,0.014945
400,-0.000000,0.000000,0.002335,0.000000,0.014795
401,0.000816,0.000000,0.002307,0.000000,0.015619
402,-0.000000,0.000000,0.002278,0.000000,0.015463
403,-0.000000,0.000000,0.002250,0.000000,0.015308
404,-0.000000,0.000000,0.002222,0.000000,0.015155
405,-0.000000,0.000000,0.002194,0.000000,0.015004
406,-0.000000,0.000000,0.002167,0.000000,0.014854
407,-0.000000,0.000000,0.002140,0.000000,0.014705
408,-0.000000,0.000000,0.002113,0.000000,0.014558
409,-0.000000,0.000000,0.002087,0.000000,0.014413
410,-0.000000,0.000000,0.002061,0.000000,0.014269
411,0.000000,0.000000,0.002035,0.000000,0.014613
412,0.000000,0.000000,0.002009,0.000000,0.014466
413,0.000000,0.000000,0.001984,0.000000,0.014322
414,0.000000,0.000000,0.001960,0.000000,0.014179
415,0.000000,0.000000,0.001935,0.000000,0.014037
416,0.000000,0.000000,0.001911,0.000000,0.013896
417,0.000000,0.000000,0.001887,0.000000,0.013757
418,-0.005779,0.000000,0.001907,0.000000,0.013620
419,0.005875,0.000000,0.001928,0.000000,0.014301
420,0.004076,0.000000,0.001925,0.000000,0.014158
421,0.000000,0.000000,0.001901,0.000000,0.014016
422,-0.001233,0.000000,0.001879,0.000000,0.013876
423,-0.000000,0.000000,0.001856,0.000000,0.013737
424,-0.000000,0.000000,0.001832,0.000000,0.013600
425,-0.000000,0.000000,0.001810,0.000000,0.013464
426,-0.000000,0.000000,0.001787,0.000000,0.013329
427,-0.000000,0.000000,0.001765,0.000000,0.013196
428,-0.000000,0.000000,0.001743,0.000000,0.013064
429,-0.000000,0.000000,0.001721,0.000000,0.012933
430,-0.000000,0.000000,0.001699,0.000000,0.012804
431,-0.000000,0.000000,0.001678,0.000000,0.012676
432,-0.000000,0.000000,0.001657,0.000000,0.012549
433,-0.001972,0.000000,0.001642,0.000000,0.012424
434,0.000385,0.000000,0.001622,0.000000,0.012480
435,0.000000,0.000000,0.001602,0.000000,0.012355
436,0.000000,0.000000,0.001582,0.000000,0.012232
437,0.000000,0.000000,0.001562,0.000000,0.012109
438,0.005090,0.000000,0.001583,0.000000,0.011988
439,-0.005726,0.000000,0.001614,0.000000,0.011868
440,0.000000,0.000000,0.001594,0.000000,0.013150
441,0.000000,0.000000,0.001574,0.000000,0.013019
442,0.000000,0.000000,0.001554,0.000000,0.012889
443,0.000000,0.000000,0.001535,0.000000,0.012760
444,0.000000,0.000000,0.001516,0.000000,0.012632
445,0.001146,0.000000,0.001499,0.000000,0.012506
446,0.000472,0.000000,0.001481,0.000000,0.012381
447,-0.002054,0.000000,0.001469,0.000000,0.012257
448,0.003483,0.000000,0.001471,0.000000,0.013019
449,-0.004653,0.000000,0.001489,0.000000,0.012889
450,0.005476,0.000000,0.001520,0.000000,0.012760
451,-0.005891,0.000000,0.001556,0.000000,0.012632
452,0.005867,0.000000,0.001591,0.000000,0.017846
453,-0.005406,0.000000,0.001616,0.000000,0.017667
454,-0.000000,0.000000,0.001596,0.000000,0.017491
455,0.003339,0.000000,0.001593,0.000000,0.020427
456,-0.000000,0.000000,0.001573,0.000000,0.020223
457,-0.000000,0.000000,0.001554,0.000000,0.020020
458,0.001318,0.000000,0.001537,0.000000,0.022806
459,-0.000000,0.000000,0.001518,0.000000,0.022578
460,-0.004139,0.000000,0.001527,0.000000,0.022352
461,0.005135,0.000000,0.001550,0.000000,0.024999
462,-0.005749,0.000000,0.001582,0.000000,0.024749
463,0.005934,0.000000,0.001617,0.000000,0.029242
464,-0.000000,0.000000,0.001597,0.000000,0.028949
465,0.005858,0.000000,0.001629,0.000000,0.028660
466,-0.000000,0.000000,0.001609,0.000000,0.028373
467,-0.002598,0.000000,0.001599,0.000000,0.028089
468,-0.000000,0.000000,0.001579,0.000000,0.027808
469,0.000000,0.000000,0.001560,0.000000,0.029136
470,0.000000,0.000000,0.001540,0.000000,0.028845
471,0.000000,0.000000,0.001521,0.000000,0.028557
472,0.000000,0.000000,0.001502,0.000000,0.028271
473,0.000000,0.000000,0.001483,0.000000,0.027988
474,0.000000,0.000000,0.001465,0.000000,0.027708
475,-0.000000,0.000000,0.001446,0.000000,0.027431
476,-0.000000,0.000000,0.001428,0.000000,0.027157
477,-0.000000,0.000000,0.001411,0.000000,0.026885
478,-0.000000,0.000000,0.001393,0.000000,0.026617
479,-0.000553,0.000000,0.001376,0.000000,0.026350
480,-0.000000,0.000000,0.001359,0.000000,0.026087
481,0.000000,0.000000,0.001342,0.000000,0.025529
482,0.000000,0.000000,0.001325,0.000000,0.025274
483,-0.000000,0.000000,0.001309,0.000000,0.025021
484,-0.000000,0.000000,0.001292,0.000000,0.024771
485,-0.000000,0.000000,0.001276,0.000000,0.024523
486,-0.003778,0.000000,0.001288,0.000000,0.024278
487,-0.000000,0.000000,0.001272,0.000000,0.024035
488,-0.000000,0.000000,0.001256,0.000000,0.023795
489,-0.000000,0.000000,0.001240,0.000000,0.023557
490,0.000000,0.000000,0.001225,0.000000,0.023481
491,0.000000,0.000000,0.001209,0.000000,0.023246
492,0.000000,0.000000,0.001194,0.000000,0.023013
493,0.000000,0.000000,0.001179,0.000000,0.022783
494,0.000000,0.000000,0.001165,0.000000,0.022555
495,0.000000,0.000000,0.001150,0.000000,0.022330
496,0.000000,0.000000,0.001136,0.000000,0.022107
497,0.000000,0.000000,0.001122,0.000000,0.021886
498,0.000000,0.000000,0.001108,0.000000,0.021667
499,0.005099,0.000000,0.001151,0.000000,0.021450
500,0.000000,0.000000,0.001136,0.000000,0.021236
501,-0.001732,0.000000,0.001129,0.000000,0.021023
502,-0.000000,0.000000,0.001115,0.000000,0.020813
503,-0.006945,0.000000,0.001203,0.000000,0.020605
504,-0.000000,0.000000,0.001188,0.000000,0.020399
505,-0.000000,0.000000,0.001173,0.000000,0.020195
506,-0.000594,0.000000,0.001159,0.000000,0.019993
507,-0.000000,0.000000,0.001145,0.000000,0.019793
508,0.006162,0.000000,0.001210,0.000000,0.019278
509,0.000000,0.000000,0.001195,0.000000,0.019085
510,0.007052,0.000000,0.001279,0.000000,0.018894
511,0.000000,0.000000,0.001263,0.000000,0.018705
512,0.000000,0.000000,0.001248,0.000000,0.018518
513,-0.004929,0.000000,0.001279,0.000000,0.018333
514,-0.000000,0.000000,0.001263,0.000000,0.018150
515,-0.008609,0.000000,0.001386,0.000000,0.017968
516,0.000000,0.000000,0.001368,0.000000,0.018391
517,0.000000,0.000000,0.001351,0.000000,0.018207
518,0.000000,0.000000,0.001334,0.000000,0.018025
519,0.000000,0.000000,0.001318,0.000000,0.017844
520,0.000000,0.000000,0.001301,0.000000,0.017666
521,-0.001276,0.000000,0.001288,0.000000,0.017489
522,-0.003538,0.000000,0.001296,0.000000,0.017314
523,-0.015588,0.000000,0.001682,0.000000,0.017141
524,-0.007121,0.000000,0.001734,0.000000,0.016970
525,-0.008177,0.000000,0.001806,0.000000,0.016800
526,0.008622,0.000000,0.001882,0.000000,0.016994
527,-0.008425,0.000000,0.001950,0.000000,0.016824
528,0.007601,0.000000,0.001998,0.000000,0.016655
529,-0.006210,0.000000,0.002020,0.000000,0.016489
530,0.004356,0.000000,0.002018,0.000000,0.016324
531,-0.002177,0.000000,0.001999,0.000000,0.016161
532,-0.000163,0.000000,0.001974,0.000000,0.015999
533,0.002491,0.000000,0.001957,0.000000,0.019024
534,-0.004634,0.000000,0.001960,0.000000,0.018834
535,0.006432,0.000000,0.001987,0.000000,0.018645
536,-0.007750,0.000000,0.002036,0.000000,0.018459
537,0.008491,0.000000,0.002097,0.000000,0.023326
538,-0.008599,0.000000,0.002156,0.000000,0.023092
539,0.008066,0.000000,0.002203,0.000000,0.022861
540,-0.006932,0.000000,0.002229,0.000000,0.022633
541,0.005282,0.000000,0.002232,0.000000,0.022406
542,-0.003238,0.000000,0.002216,0.000000,0.022182
543,0.000953,0.000000,0.002189,0.000000,0.021961
544,0.001404,0.000000,0.002164,0.000000,0.021741
545,-0.003655,0.000000,0.002152,0.000000,0.021524
546,0.005634,0.000000,0.002162,0.000000,0.024220
547,-0.007194,0.000000,0.002193,0.000000,0.023978
548,0.008217,0.000000,0.002241,0.000000,0.028516
549,-0.008628,0.000000,0.002294,0.000000,0.028231
550,0.008396,0.000000,0.002340,0.000000,0.027948
551,-0.007539,0.000000,0.002371,0.000000,0.027669
552,0.006119,0.000000,0.002380,0.000000,0.027392
553,-0.004244,0.000000,0.002369,0.000000,0.027118
554,0.002052,0.000000,0.002344,0.000000,0.031470
555,0.000292,0.000000,0.002315,0.000000,0.031155
556,-0.002615,0.000000,0.002293,0.000000,0.030844
557,0.004743,0.000000,0.002289,0.000000,0.032985
558,-0.006517,0.000000,0.002306,0.000000,0.032655
559,0.007806,0.000000,0.002342,0.000000,0.036677
560,-0.008513,0.000000,0.002388,0.000000,0.036311
561,0.008586,0.000000,0.002433,0.000000,0.035948
562,-0.008019,0.000000,0.002468,0.000000,0.035588
563,0.006854,0.000000,0.002484,0.000000,0.035232
564,-0.005179,0.000000,0.002479,0.000000,0.034880
565,0.003118,0.000000,0.002458,0.000000,0.038770
566,-0.000824,0.000000,0.002428,0.000000,0.038382
567,-0.001531,0.000000,0.002400,0.000000,0.037998
568,0.003772,0.000000,0.002385,0.000000,0.039714
569,-0.005731,0.000000,0.002389,0.000000,0.039317
570,0.007264,0.000000,0.002414,0.000000,0.042943
571,-0.008256,0.000000,0.002453,0.000000,0.042513
572,0.008632,0.000000,0.002496,0.000000,0.042088
573,-0.008365,0.000000,0.002534,0.000000,0.041667
574,0.007475,0.000000,0.002556,0.000000,0.041250
575,-0.006027,0.000000,0.002559,0.000000,0.040838
576,0.004131,0.000000,0.002544,0.000000,0.044373
577,-0.001927,0.000000,0.002516,0.000000,0.043929
578,-0.000421,0.000000,0.002484,0.000000,0.043490
579,0.002738,0.000000,0.002461,0.000000,0.044879
580,-0.004850,0.000000,0.002454,0.000000,0.044430
581,-0.006601,0.000000,0.002467,0.000000,0.043986
582,0.007860,0.000000,0.002497,0.000000,0.045346
583,0.008534,0.000000,0.002538,0.000000,0.044892
584,-0.008571,0.000000,0.002577,0.000000,0.044443
585,0.007970,0.000000,0.002605,0.000000,0.045776
586,-0.006775,0.000000,0.002616,0.000000,0.045318
587,0.005075,0.000000,0.002608,0.000000,0.048587
588,-0.002997,0.000000,0.002584,0.000000,0.048101
